id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,year_label,fiscal_year,month,is_ttm
1164,RECLTD,Mar 2016,987.0,27906,169212.0,8840.0,206945.0,254.0,78,2352,204261,206945.0,Mar 2016,2016.0,Mar,False
1165,RECLTD,Mar 2017,1975.0,31696,167852.0,8723.0,210245.0,355.0,166,2617,207108,210245.0,Mar 2017,2017.0,Mar,False
1166,RECLTD,Mar 2018,1975.0,30613,204367.0,5416.0,242370.0,132.0,129,2948,239162,242370.0,Mar 2018,2018.0,Mar,False
1167,RECLTD,Mar 2019,1975.0,32571,244249.0,19659.0,298454.0,165.0,199,2463,295627,298454.0,Mar 2019,2019.0,Mar,False
1168,RECLTD,Mar 2020,1975.0,33422,286289.0,25345.0,347030.0,166.0,288,2386,344190,347030.0,Mar 2020,2020.0,Mar,False
1169,RECLTD,Mar 2021,1975.0,41789,329723.0,27380.0,400867.0,267.0,336,1981,398282,400867.0,Mar 2021,2021.0,Mar,False
1170,RECLTD,Mar 2022,1975.0,49339,333043.0,26503.0,410860.0,628.0,6,2190,408035,410860.0,Mar 2022,2022.0,Mar,False
1171,RECLTD,Mar 2023,2633.0,55487,380790.0,26592.0,465503.0,641.0,3,3170,461689,465503.0,Mar 2023,2023.0,Mar,False
1172,RECLTD,Mar 2024,2633.0,66717,445568.0,33273.0,548191.0,632.0,24,5352,542184,548191.0,Mar 2024,2024.0,Mar,False
1173,RECLTD,Sep 2024,2633.0,70877,483617.0,38100.0,595227.0,622.0,49,6790,587766,595227.0,Sep 2024,2024.0,Sep,False
1174,RELIANCE,Mar 2013,2936.0,179119,107219.0,73083.0,362357.0,133487.0,49952,42848,136070,362357.0,Mar 2013,2013.0,Mar,False
1175,RELIANCE,Mar 2014,2940.0,195747,138761.0,91395.0,428843.0,141417.0,91494,60602,135330,428843.0,Mar 2014,2014.0,Mar,False
1176,RELIANCE,Mar 2015,2943.0,215556,168251.0,117736.0,504486.0,156458.0,166462,76451,105115,504486.0,Mar 2015,2015.0,Mar,False
1177,RELIANCE,Mar 2016,2948.0,228608,194714.0,172727.0,598997.0,184910.0,228697,84015,101375,598997.0,Mar 2016,2016.0,Mar,False
1178,RELIANCE,Mar 2017,2959.0,260750,217475.0,225618.0,706802.0,198526.0,324837,82899,100540,706802.0,Mar 2017,2017.0,Mar,False
1179,RELIANCE,Mar 2018,5922.0,287584,239843.0,277924.0,811273.0,403885.0,187022,82862,137504,811273.0,Mar 2018,2018.0,Mar,False
1180,RELIANCE,Mar 2019,5926.0,381186,307714.0,302804.0,997630.0,398374.0,179463,235635,184158,997630.0,Mar 2019,2019.0,Mar,False
1181,RELIANCE,Mar 2020,6339.0,442827,355133.0,358716.0,1163015.0,532658.0,109106,276767,244484,1163015.0,Mar 2020,2020.0,Mar,False
1182,RELIANCE,Mar 2021,6445.0,693727,278962.0,340931.0,1320065.0,541258.0,125953,364828,288026,1320065.0,Mar 2021,2021.0,Mar,False
1183,RELIANCE,Mar 2022,6765.0,772720,319158.0,399979.0,1498622.0,627798.0,172506,394264,304054,1498622.0,Mar 2022,2022.0,Mar,False
1184,RELIANCE,Mar 2023,6766.0,709106,451664.0,438346.0,1605882.0,724805.0,293752,235560,351765,1605882.0,Mar 2023,2023.0,Mar,False
1185,RELIANCE,Mar 2024,6766.0,786715,458991.0,502576.0,1755048.0,779985.0,338855,225672,410536,1755048.0,Mar 2024,2024.0,Mar,False
1186,RELIANCE,Sep 2024,6766.0,812687,357525.0,638145.0,1815123.0,968747.0,198873,244559,402944,1815123.0,Sep 2024,2024.0,Sep,False
1187,SBILIFE,Mar 2013,1000.0,1736,0.0,50978.0,53714.0,283.0,3,50047,3382,53714.0,Mar 2013,2013.0,Mar,False
1188,SBILIFE,Mar 2014,1000.0,2356,0.0,57284.0,60640.0,304.0,4,56275,4058,60640.0,Mar 2014,2014.0,Mar,False
1189,SBILIFE,Mar 2015,1000.0,3056,0.0,70064.0,74121.0,292.0,7,69385,4437,74121.0,Mar 2015,2015.0,Mar,False
1190,SBILIFE,Mar 2016,1000.0,3733,0.0,78696.0,83429.0,301.0,146,77843,5139,83429.0,Mar 2016,2016.0,Mar,False
1191,SBILIFE,Mar 2017,1000.0,4552,0.0,96687.0,102240.0,507.0,31,95830,5871,102240.0,Mar 2017,2017.0,Mar,False
1192,SBILIFE,Mar 2018,1000.0,5528,0.0,115193.0,121720.0,511.0,70,114436,6703,121720.0,Mar 2018,2018.0,Mar,False
1193,SBILIFE,Mar 2019,1000.0,6576,0.0,139157.0,146734.0,563.0,32,139325,6814,146734.0,Mar 2019,2019.0,Mar,False
1194,SBILIFE,Mar 2020,1000.0,7743,0.0,156837.0,165580.0,568.0,13,158813,6186,165580.0,Mar 2020,2020.0,Mar,False
1195,SBILIFE,Mar 2021,1000.0,9400,0.0,216430.0,226830.0,564.0,1,218756,7509,226830.0,Mar 2021,2021.0,Mar,False
1196,SBILIFE,Mar 2022,1000.0,10622,0.0,261715.0,273337.0,919.0,3,264437,7978,273337.0,Mar 2022,2022.0,Mar,False
1197,SBILIFE,Mar 2023,1001.0,12017,0.0,301582.0,314599.0,867.0,1,303988,9743,314599.0,Mar 2023,2023.0,Mar,False
1198,SBILIFE,Mar 2024,1001.0,13907,0.0,383390.0,398299.0,1198.0,6,384943,12152,398299.0,Mar 2024,2024.0,Mar,False
1199,SBILIFE,Sep 2024,1002.0,15257,0.0,432238.0,448497.0,563.0,0,435926,12009,448497.0,Sep 2024,2024.0,Sep,False
1200,ZYDUSLIFE,2013,102.0,2842,2918.0,1512.0,7374.0,3026.0,736,114,3498,7374.0,2013,,,False
1201,ZYDUSLIFE,2014,102.0,3337,2700.0,1847.0,7986.0,3124.0,892,87,3885,7986.0,2014,,,False
1202,ZYDUSLIFE,2015,102.0,4149,2651.0,2144.0,9047.0,3352.0,798,154,4743,9047.0,2015,,,False
1203,ZYDUSLIFE,2016,102.0,5597,2442.0,2208.0,10350.0,3748.0,951,416,5235,10350.0,2016,,,False
1204,ZYDUSLIFE,2017,102.0,6858,5207.0,2937.0,15104.0,5755.0,1543,435,7371,15104.0,2017,,,False
1205,ZYDUSLIFE,2018,102.0,8642,5407.0,3632.0,17783.0,6483.0,1527,746,9028,17783.0,2018,,,False
1206,ZYDUSLIFE,2019,102.0,10284,7899.0,4945.0,23231.0,12164.0,837,674,9556,23231.0,2019,,,False
1207,ZYDUSLIFE,2020,102.0,10273,7986.0,5115.0,23477.0,12230.0,742,765,9740,23477.0,2020,,,False
1208,ZYDUSLIFE,2021,102.0,12890,4608.0,6165.0,23765.0,12133.0,783,830,10019,23765.0,2021,,,False
1209,ZYDUSLIFE,2022,102.0,16897,4221.0,6421.0,27642.0,12188.0,726,3288,11439,27642.0,2022,,,False
1210,ZYDUSLIFE,2023,101.0,17415,1195.0,6851.0,25562.0,11521.0,1201,1547,11294,25562.0,2023,,,False
1211,ZYDUSLIFE,2024,101.0,19729,804.0,8201.0,28834.0,12368.0,2423,1220,12822,28834.0,2024,,,False
1212,ZYDUSLIFE,2024.5,101.0,21724,190.0,9431.0,31446.0,14304.0,1051,2596,13495,31446.0,2024.5,,,False
