id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,year_label,fiscal_year,month,is_ttm
172,APOLLOHOSP,Mar 2013,3769.0,3157.0,612.0,16.0,33.0,103,142,399.0,26.0,303.0,22.0,25.0,Mar 2013,2013.0,Mar,False
173,APOLLOHOSP,Mar 2014,4357.0,3681.0,676.0,16.0,18.0,119,168,407.0,25.0,315.0,23.0,25.0,Mar 2014,2014.0,Mar,False
174,APOLLOHOSP,Mar 2015,5129.0,4392.0,737.0,14.0,47.0,118,212,455.0,29.0,335.0,24.0,24.0,Mar 2015,2015.0,Mar,False
175,APOLLOHOSP,Mar 2016,6150.0,5465.0,684.0,11.0,92.0,180,264,332.0,29.0,235.0,17.0,35.0,Mar 2016,2016.0,Mar,False
176,APOLLOHOSP,Mar 2017,7256.0,6522.0,734.0,10.0,60.0,257,314,222.0,41.0,131.0,16.0,38.0,Mar 2017,2017.0,Mar,False
177,APOLLOHOSP,Mar 2018,8243.0,7442.0,801.0,10.0,24.0,295,359,171.0,65.0,60.0,8.0,59.0,Mar 2018,2018.0,Mar,False
178,APOLLOHOSP,Mar 2019,9617.0,8548.0,1070.0,11.0,26.0,327,396,373.0,47.0,200.0,17.0,35.0,Mar 2019,2019.0,Mar,False
179,APOLLOHOSP,Mar 2020,11247.0,9656.0,1591.0,14.0,222.0,533,620,660.0,34.0,432.0,33.0,18.0,Mar 2020,2020.0,Mar,False
180,APOLLOHOSP,Mar 2021,10560.0,9420.0,1140.0,11.0,103.0,449,573,221.0,38.0,137.0,10.0,29.0,Mar 2021,2021.0,Mar,False
181,APOLLOHOSP,Mar 2022,14663.0,12474.0,2189.0,15.0,368.0,379,601,1578.0,30.0,1108.0,73.0,16.0,Mar 2022,2022.0,Mar,False
182,APOLLOHOSP,Mar 2023,16612.0,14548.0,2065.0,12.0,75.0,381,615,1144.0,22.0,844.0,57.0,26.0,Mar 2023,2023.0,Mar,False
183,APOLLOHOSP,Mar 2024,19059.0,16665.0,2394.0,13.0,105.0,449,687,1362.0,33.0,935.0,63.0,26.0,Mar 2024,2024.0,Mar,False
184,APOLLOHOSP,TTM,20469.0,17725.0,2745.0,13.0,158.0,466,719,1719.0,,1224.0,82.0,,TTM,,,True
185,ASIANPAINT,Mar 2013,10504.0,8767.0,1737.0,17.0,114.0,42,155,1655.0,30.0,1160.0,12.0,40.0,Mar 2013,2013.0,Mar,False
186,ASIANPAINT,Mar 2014,12220.0,10217.0,2004.0,16.0,124.0,48,246,1834.0,31.0,1263.0,13.0,42.0,Mar 2014,2014.0,Mar,False
187,ASIANPAINT,Mar 2015,13615.0,11372.0,2243.0,16.0,142.0,42,266,2077.0,31.0,1427.0,15.0,42.0,Mar 2015,2015.0,Mar,False
188,ASIANPAINT,Mar 2016,14271.0,11546.0,2725.0,19.0,213.0,49,276,2614.0,32.0,1803.0,18.0,41.0,Mar 2016,2016.0,Mar,False
189,ASIANPAINT,Mar 2017,15062.0,12068.0,2994.0,20.0,338.0,37,335,2960.0,32.0,2016.0,20.0,51.0,Mar 2017,2017.0,Mar,False
190,ASIANPAINT,Mar 2018,16825.0,13621.0,3204.0,19.0,336.0,41,360,3138.0,33.0,2098.0,21.0,41.0,Mar 2018,2018.0,Mar,False
191,ASIANPAINT,Mar 2019,19240.0,15475.0,3765.0,20.0,274.0,110,622,3306.0,33.0,2208.0,22.0,47.0,Mar 2019,2019.0,Mar,False
192,ASIANPAINT,Mar 2020,20211.0,16054.0,4157.0,21.0,355.0,102,780,3629.0,24.0,2774.0,28.0,43.0,Mar 2020,2020.0,Mar,False
193,ASIANPAINT,Mar 2021,21713.0,16857.0,4856.0,22.0,332.0,92,791,4304.0,26.0,3207.0,33.0,55.0,Mar 2021,2021.0,Mar,False
194,ASIANPAINT,Mar 2022,29101.0,24298.0,4804.0,17.0,296.0,95,816,4188.0,26.0,3085.0,32.0,61.0,Mar 2022,2022.0,Mar,False
195,ASIANPAINT,Mar 2023,34489.0,28229.0,6260.0,18.0,431.0,144,858,5689.0,26.0,4195.0,43.0,60.0,Mar 2023,2023.0,Mar,False
196,ASIANPAINT,Mar 2024,35495.0,27910.0,7585.0,21.0,821.0,205,853,7348.0,24.0,5558.0,57.0,58.0,Mar 2024,2024.0,Mar,False
197,ASIANPAINT,TTM,34831.0,28150.0,6681.0,19.0,616.0,227,916,6155.0,,4631.0,48.0,,TTM,,,True
198,ATGL,Mar 2018,1374.0,1008.0,366.0,27.0,80.0,125,61,259.0,36.0,162.0,6.0,0.0,Mar 2018,2018.0,Mar,False
199,ATGL,Mar 2019,1719.0,1264.0,455.0,26.0,59.0,90,67,357.0,36.0,229.0,2.0,12.0,Mar 2019,2019.0,Mar,False
200,ATGL,Mar 2020,1875.0,1280.0,595.0,32.0,44.0,41,51,547.0,20.0,436.0,4.0,6.0,Mar 2020,2020.0,Mar,False
201,ATGL,Mar 2021,1696.0,991.0,704.0,42.0,30.0,40,63,631.0,25.0,463.0,4.0,6.0,Mar 2021,2021.0,Mar,False
202,ATGL,Mar 2022,3038.0,2265.0,773.0,25.0,46.0,53,83,684.0,26.0,509.0,5.0,5.0,Mar 2022,2022.0,Mar,False
203,ATGL,Mar 2023,4378.0,3508.0,870.0,20.0,54.0,78,113,733.0,25.0,546.0,5.0,5.0,Mar 2023,2023.0,Mar,False
204,ATGL,Mar 2024,4475.0,3371.0,1104.0,25.0,62.0,111,158,896.0,26.0,668.0,6.0,4.0,Mar 2024,2024.0,Mar,False
205,ATGL,TTM,4826.0,3672.0,1153.0,24.0,52.0,106,199,900.0,,668.0,6.0,,TTM,,,True
206,BAJAJ-AUTO,Mar 2013,20025.0,16370.0,3656.0,18.0,790.0,1,168,4277.0,29.0,3133.0,108.0,42.0,Mar 2013,2013.0,Mar,False
207,BAJAJ-AUTO,Mar 2014,20137.0,15974.0,4163.0,21.0,674.0,1,181,4655.0,31.0,3380.0,117.0,43.0,Mar 2014,2014.0,Mar,False
208,BAJAJ-AUTO,Mar 2015,21595.0,17467.0,4128.0,19.0,228.0,6,267,4083.0,31.0,3026.0,105.0,48.0,Mar 2015,2015.0,Mar,False
209,BAJAJ-AUTO,Mar 2016,22574.0,17781.0,4793.0,21.0,1194.0,1,307,5679.0,28.0,4061.0,140.0,39.0,Mar 2016,2016.0,Mar,False
210,BAJAJ-AUTO,Mar 2017,21755.0,17326.0,4429.0,20.0,1468.0,1,307,5588.0,27.0,4079.0,141.0,39.0,Mar 2017,2017.0,Mar,False
211,BAJAJ-AUTO,Mar 2018,25210.0,20364.0,4846.0,19.0,1404.0,1,315,5933.0,29.0,4219.0,146.0,41.0,Mar 2018,2018.0,Mar,False
